family,position_set,n_unique_positions,n_background_residues,iterations,seed,observed_mean_percentile,observed_median_percentile,random_mean_percentile_mean,random_mean_percentile_sd,empirical_p_value_lower_tail,effect_observed_minus_random_mean
ACCase,all,6,1132,10000,20260704,13.236160,12.367491,50.203133,11.847936,0.000300,-36.966973
ACCase,non_core_only,4,1132,10000,20260704,17.999117,13.869258,50.137763,14.352111,0.010199,-32.138646
ALS,all,5,582,10000,20260704,4.639175,4.639175,50.032670,12.804349,0.000100,-45.393495
EPSPS,all,2,443,10000,20260704,9.367946,9.367946,50.034357,20.083400,0.014699,-40.666411
EPSPS,non_core_only,1,443,10000,20260704,12.866817,12.866817,50.117156,28.561108,0.129987,-37.250339
PPO,all,4,465,10000,20260704,8.010753,5.483871,49.859914,14.378814,0.000400,-41.849161
PPO,non_core_only,3,465,10000,20260704,10.394265,8.172043,49.823649,16.544126,0.005899,-39.429384
ALL_FAMILIES_COMBINED,combined_all,17,2622,10000,20260704,9.023044,4.639175,50.131992,6.943418,0.000100,-41.108948
ALL_FAMILIES_COMBINED,combined_non_core_only,8,2622,10000,20260704,14.505760,12.661324,50.221864,10.105252,0.000100,-35.716104
